duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
0.5,0.45999999999999996,0.4800000000000001,0.9677419354838712,none,0.8461538461538463,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.5,generous,yes,full,yes,full,good
0.5,0.09999999999999998,0.20000000000000007,0.0,none,1.0,none,0.0,-0.3793961520953148,no,0.33333333333333326,below_average,no,half,yes,none,bad
1.0,0.30000000000000004,0.4,0.8387096774193548,tcf,0.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,generous,yes,full,yes,full,good
0.5,0.5,0.4,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.16666666666666652,generous,yes,half,yes,full,good
0.0,0.8000000000000002,0.4,0.9677419354838712,none,0.8461538461538463,empl_contr,0.5,-0.3793961520953148,yes,0.0,generous,yes,full,yes,full,good
1.0,0.0,0.0,0.0,none,1.0,none,0.0,-0.3793961520953148,no,0.16666666666666652,below_average,no,half,yes,full,bad
0.5,0.5,0.5,0.9677419354838712,tcf,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.16666666666666652,below_average,yes,none,yes,half,good
0.5,0.20000000000000007,0.20000000000000007,0.9677419354838712,none,0.4615384615384617,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.5,generous,yes,full,yes,full,good
0.5,0.6,0.4,0.9677419354838712,none,0.7692307692307692,empl_contr,0.6666666666666666,0.21308551008093024,no,0.33333333333333326,below_average,yes,full,yes,full,good
1.0,0.0,0.09999999999999998,0.0,none,0.6153846153846154,none,0.0,-0.3793961520953148,no,0.16666666666666652,average,no,half,yes,full,bad
1.0,0.5,0.5,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,no,0.33333333333333326,average,yes,half,yes,full,good
1.0,0.20000000000000007,0.0,0.16129032258064524,tc,1.0,none,0.0,0.21308551008093024,no,0.16666666666666652,below_average,yes,half,yes,full,bad
0.5,0.09999999999999998,0.09999999999999998,0.0,none,0.8461538461538463,empl_contr,0.0,-0.3793961520953148,no,0.16666666666666652,average,no,half,yes,none,bad
0.5,0.4,0.6,0.0,none,1.0,none,0.0,-0.3793961520953148,no,0.16666666666666652,below_average,no,none,yes,none,bad
1.0,0.0,0.09999999999999998,0.032258064516129115,tc,1.0,none,0.0,-0.97187781427156,no,0.16666666666666652,below_average,no,half,yes,full,bad
0.5,0.0,0.0,0.0,none,1.0,none,0.0,-0.3793961520953148,no,0.33333333333333326,average,yes,none,yes,full,bad
0.0,0.0,0.09999999999999998,0.0,tc,1.0,ret_allw,0.16666666666666666,-1.2681186453596824,no,0.33333333333333326,generous,no,none,no,none,bad
0.0,0.15999999999999992,0.09999999999999998,0.0,none,0.8461538461538463,empl_contr,0.0,-0.3793961520953148,no,0.0,below_average,yes,half,yes,none,bad
1.0,0.0,0.09999999999999998,0.0,none,0.7692307692307692,empl_contr,0.0,-0.3793961520953148,no,0.16666666666666652,average,no,half,yes,none,bad
0.5,0.5,0.4,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.5,average,yes,full,yes,half,good
0.0,0.4,0.09999999999999998,0.0,none,1.0,none,0.0,-0.3793961520953148,yes,0.33333333333333326,average,no,none,no,none,bad
0.5,0.0,0.20000000000000007,0.0,none,0.8461538461538463,empl_contr,0.0,-0.3793961520953148,yes,0.5,generous,yes,none,yes,full,bad
0.5,0.09999999999999998,0.09999999999999998,0.0,tc,0.9230769230769229,empl_contr,0.0,-0.3793961520953148,no,0.5,average,no,half,yes,none,bad
0.5,0.09999999999999998,0.20000000000000007,0.0,tcf,1.0,none,0.0,-0.3793961520953148,no,0.33333333333333326,below_average,no,half,yes,none,bad
0.5,0.4,0.4,0.0,none,1.0,none,0.0,-0.3793961520953148,no,0.16666666666666652,below_average,no,none,yes,none,bad
0.5,0.5,0.4,0.0,none,1.0,none,0.0,-0.6756369831834373,no,0.16666666666666652,below_average,no,half,yes,half,bad
0.5,0.5,0.4,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,0.21308551008093024,yes,0.33333333333333326,average,yes,full,yes,full,good
0.5,0.5199999999999999,0.5199999999999999,0.9677419354838712,tcf,0.8461538461538463,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,generous,yes,half,yes,half,good
0.5,0.6,0.5,0.9677419354838712,none,0.8461538461538463,empl_contr,0.9999999999999999,0.21308551008093024,yes,0.33333333333333326,below_average,yes,full,yes,full,good
0.5,0.7400000000000001,0.5,0.9677419354838712,none,1.0,ret_allw,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,average,yes,full,yes,full,good
0.5,1.0,0.66,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,generous,yes,full,yes,full,good
1.0,0.0,0.20000000000000007,0.9677419354838712,tcf,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,generous,yes,half,yes,full,good
1.0,0.30000000000000004,0.4,0.806451612903226,tcf,0.6153846153846154,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.6666666666666665,generous,yes,full,yes,full,good
1.0,0.4,0.30000000000000004,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,0.5093263411690527,yes,0.33333333333333326,average,yes,full,yes,full,good
1.0,0.6,0.4800000000000001,0.9677419354838712,none,0.8461538461538463,empl_contr,0.6666666666666666,0.5093263411690527,yes,0.33333333333333326,generous,yes,full,yes,full,good
1.0,0.6,0.6,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.5,average,yes,half,yes,half,good
1.0,0.8000000000000002,0.8000000000000002,0.6451612903225807,none,0.6153846153846154,empl_contr,0.6666666666666666,2.8792529898740327,yes,0.0,generous,yes,full,yes,full,good
